APK,Time_ Androguard ,No_Of_permission,Time_permission,No_Of_Intent,No_Of_ImplicitIntent,No_Of_ExplicitIntent,Time_Intent,No_Of_PendingIntent,No_Of_Filter,Time_filter,No_Of_PermissionIntent,Type_Of_PermissionIntentt,No_Of_PermissionFilter,Type_Of_PermissionFilter,"Danger=1,Normal=0"
a1.recommended.by.staff.reader.il1,54.41618276,14,0.255197287,7,7,0,0.311864138,0,6,1.851891756,0,[],0,[],1
aboard.and.andbird,12.65262175,12,0.113817692,0,0,0,0.156577826,0,2,0.333447933,0,[],0,[],0
ae.ac.hct.mobile.myhct,46.31709051,39,0.532345533,3,3,0,4.378186226,1,7,1.124937773,0,[],0,[],0
aelite.aclock.fre,21.43045211,6,0.037018299,0,0,0,0,0,1,1.864648819,0,[],0,[],0
ai.caryfy.app,39.84251046,13,0.148371935,3,3,0,0.398013115,0,3,0.321883678,0,[],0,[],0
aigl.multi.currency,8.918242693,3,0.004509449,6,6,0,0.987987995,0,1,0.060993195,0,[],0,[],0
air.BMTABusData,2.085460901,0,0,0,0,0,0,0,1,0.101164818,0,[],0,[],0
air.BMTAtraffic,2.675721884,0,0,0,0,0,0,0,1,0.212002754,0,[],0,[],0
air.Caprenov,3.564913273,5,0.0049963,0,0,0,0.034780979,0,1,0.836100578,0,[],0,[],0
air.CellLife,2.015604734,1,0,0,0,0,0.005485058,0,1,0.061912298,0,[],0,[],0
air.com.A50states.statecapitals,13.10808372,3,0.010105371,0,0,0,0.00510025,0,1,0.806048155,0,[],0,[],0
air.com.aaaedu.doubleenphonetic,11.6489203,6,0.010094881,3,2,1,0.085751057,0,1,0.114063978,0,[],0,[],0
air.com.agaspe.weddress,41.15054893,2,0.030082226,0,0,0,0.282024145,0,1,0.196048737,0,[],0,[],0
air.com.baby.WoWchBaby,25.7331605,12,0.060768843,6,6,0,0.299512386,1,5,48.71505332,0,[],0,[],0
air.com.blogspot.krujutamas.lesson7,2.103473902,1,0,0,0,0,0,0,1,0.847493172,0,[],0,[],0
air.com.blogspot.krujutamas.lesson9,2.429042339,1,0.004904032,0,0,0,0,0,1,11.36875534,0,[],0,[],0
air.com.blue.dinov,8.760739326,1,0,0,0,0,0,0,1,0.095778942,0,[],0,[],0
air.com.blue.wasteworth,3.419054508,1,0.002506018,0,0,0,0,0,1,0.246285915,0,[],0,[],0
air.com.bm.london.vusiem,10.2227726,3,0.010042906,2,2,0,0.082180738,0,1,0.08349371,0,[],0,[],0
air.com.bm.london.vusiemEC01CBE447E07FFCCAAD44AD27030819B12EBDE1,6.539320707,3,0.009982824,4,4,0,0.094792604,0,1,132.6585209,0,[],0,[],0
air.com.bmapps.birthdaycakemastercooking,27.57080722,4,0.029977322,0,0,0,0.055443764,0,2,5.713398933,0,[],0,[],0
air.com.bmapps.deliciousrainbowdonut,31.57206774,4,0.045544386,0,0,0,0.054195881,0,2,5.613859415,0,[],0,[],0
air.com.brainwavex.add,6.585599422,3,0.005306005,0,0,0,0.040062189,0,1,0.099433899,0,[],0,[],0
air.com.cap.rome.vusiem,8.671185732,3,0.00504756,4,4,0,0.100837469,0,1,0.075586319,0,[],0,[],0
air.com.dalux.daluxfm,28.77125835,18,0.163286686,3,3,0,0.394875765,0,8,2.974751472,0,[],0,[],0
air.com.dalux.daluxfm675D793CF909BD2D4A18C6E4CD534B7C73F10690,27.01737905,18,0.13256979,3,3,0,29.98334599,0,8,25.56529427,0,[],0,[],0
air.com.dalux.daluxfm9D67FE139026473CD4B12CEA7420BBC12BBF6546,27.64051533,18,0.141684532,3,3,0,0.387584686,0,8,3.54743886,0,[],0,[],0
air.com.darkdome.girlinthewindow,1079.344442,5,0.129658937,2,2,0,0.233531713,0,1,0.614307642,0,[],0,[],0
air.com.fernus.vectorvideo.esen,578.4151649,9,0.075770855,4,3,1,11.17111301,0,2,7.037795067,0,[],0,[],0
air.com.frosby.flourish,59.96935439,4,0.071276665,2,2,0,0.141536951,0,1,0.272629738,0,[],0,[],0
air.com.gamblershome.happyfruits,29.10305643,3,0.026329279,0,0,0,0.061730385,0,1,0.130712271,0,[],0,[],0
air.com.gamesgamesgang.SchoolCrushStory,2.749730587,3,0,0,0,0,0,0,1,0.071719646,0,[],0,[],0
air.com.glammyclub.cheesecakehomemadecooking,29.69316173,4,0.040664673,0,0,0,0.065397263,0,2,0.573240519,0,[],0,[],0
air.com.goodmorninggoateegoat,37.76284957,6,0.076684475,0,0,0,0.087281704,0,2,3.65124321,0,[],0,[],0
air.com.iswfx.connect,57.09597659,23,0.490535021,16,11,5,13.66145182,2,5,0.662556171,0,[],0,[],0
air.com.iswfx.connect4FBF0539719AC5E319EAD53291807DDD3B59851F,52.38208771,23,0.447945118,16,11,5,17.89831996,2,5,0.451887131,0,[],0,[],0
air.com.jewishsoftware.wolfsonTalmud,4.611992598,5,0.011014223,5,4,1,0.115037441,0,1,0.100716114,0,[],0,[],0
air.com.KwalIt.KStoreplus,25.52774358,8,0.055853605,0,0,0,0.107253551,0,1,0.320946217,0,[],0,[],0
air.com.littlebigplay.games.free.colonies,18.86500263,4,0.025136948,2,2,0,0.228655815,0,1,0.146817684,0,[],0,[],0
air.com.littlebigplay.games.free.slovnihra,13.3012948,4,0.020584106,2,2,0,0.226001501,0,1,4.750877142,0,[],0,[],0
air.com.littlebigplay.games.premium.polski.slowogram,2.12803793,1,0,0,0,0,0.031002283,0,1,0.118570328,0,[],0,[],0
air.com.lvr.paris.vusiem,5.940601349,3,0.010306358,4,4,0,0.082223177,0,1,4.138754606,0,[],0,[],0
air.com.lvr.paris.vusiem0D5C28057E1C48D8DFB58ADCBC514A30DCB00ABE,5.03975153,3,0.015171289,2,2,0,0.081507683,0,1,0.077483177,0,[],0,[],0
air.com.LZCD.Incepa,8.491291761,6,0.019989729,0,0,0,0.03532958,0,1,0.086665154,0,[],0,[],0
air.com.mastertacos.commande,2.089545965,3,0.004996777,0,0,0,0.035404921,0,1,0.143544674,0,[],0,[],0
air.com.miracle.tarikaenamaz,45.67038012,10,0.182497263,5,4,1,0.193705797,0,1,2.361803532,0,[],0,[],0
air.com.mobigrow.canyouescape2,53.31121516,6,0.115342617,0,0,0,0.276223898,0,1,0.78787756,0,[],0,[],0
air.com.myknowledgemedia.BasicphysicsThailite,2.534426928,1,0,0,0,0,0.030281544,0,1,0.359067917,0,[],0,[],0
air.com.nhm.london.vusiem,4.304576397,3,0.00300312,4,4,0,0.10084486,0,1,1.097078085,0,[],0,[],0
air.com.nx.st,1.854454041,3,0,0,0,0,0.035612583,0,1,0.076528072,0,[],0,[],0
